"AUTOR","EDITORIAL","AÑO","OBSERVAC","TÍTULO","Id"
"Jaime Delgado","Cultura Hisp.","1957","","Memoria del corazón","10"
"Luis López Alvarez","Rumbos","1952","","Arribar sosegado","11"
"Ramón Pérez de Ayala","Espasa Calpe","1951","4ª ed.","Poesías completas V. Extra","12"
"José Hierro","Editora Nac.","1964","","Libro de las alucinaciones","13"
"José Angel Valente","Poesía Cátedra","1982","","Mandorla","18"
"Miguel de Unamuno","Espasa Calpe","1947","","El Cristo de Velázquez","28"
"Federico García Lorca","Losada","1949","4ª ed.","Romancero Gitano","35"
"Pedro Salinas","Losada","1952","","Razón de amor","36"
"Vicente Aleixandre","Losada","1954","","La destrucción o el amor","38"
"Anónimo","Losada","1958","2ª ed.","Los versos del Capitán","39"
"Vicente Aleixandre","Losada","1960","","Poemas amorosos. Antología","40"
"Emilio Prados","Losada","1960","","Jardín cerrado","42"
"Antonio Machado","Losada","1962","5ª ed.","Poesías","43"
"Enrique Heine","Gráfica Unión","1929","5ª ed.","Sus mejores versos","44"
"Susana March","Ntra. América","1957","Nº 34","Los mejores versos Cuadernillos de poesía","63"
"Lope Mateo","Public. Españ.","1948","","Y el tiempo se hizo carne","67"
"Pascoaes","Cervantes","1925","","Las mejores poesías de los mejores poetas VII","69"
"Juan Gutiérrez Padial","Veleta al Sur","1958","","A contratierra","92"
"Carlos Sahagún","Inst. Es. Hisp.","1961","","Como si hubiera muerto un niño","93"
"Rafael de Penagos","Losada","1954","","Sonetos del buen amor","97"
"Rafael Millán","Agora","1955","","Veinte Poetas Españoles","100"
"T. S. Elliot","Alianza","1979","2ª ed.","Poesías reunidas 1909-1962","383"
"C. P. Cavafis","Alianza","1982","","Poesía completa","384"
"Yorgos Seferis","Alianza","1986","","Poesía completa","385"
"HÖLDERLIN","Río Nuevo","1977","Bilingüe","Poesía completa T. I y II","386"
"W. H.Auden","Visor","1981","","Poemas escogidos","387"
"Edith Sitwell","Visor","1971","","Cánticos del sol, de la vida y de la muerte","388"
"Margarite Yourcenar","Visor","1982","Bilingüe","Las caridades de Alcipo y otros poemas","389"
"Saint John Perse","Visor","1976","","Pájaros y otros poemas","390"
"Paul Eduard","Visor","1973","","Capital del dolor","391"
"Joyce","Visor","1972","Bilingüe","Música de cámara","392"
"Joyce","Visor","1970","Bilingüe","Poemas manzanas","393"
